Date	Open	High	Low	Close*	Adj Close**	Volume
12-May-21	"34,206.40"	"34,207.87"	"33,555.22"	"33,587.66"	"33,587.66"	"381,350,000"
11-May-21	"34,572.74"	"34,572.74"	"34,075.31"	"34,269.16"	"34,269.16"	"413,180,000"
10-May-21	"34,785.27"	"35,091.56"	"34,741.57"	"34,742.82"	"34,742.82"	"361,620,000"
7-May-21	"34,578.27"	"34,811.39"	"34,464.31"	"34,777.76"	"34,777.76"	"303,400,000"
6-May-21	"34,245.11"	"34,561.29"	"34,185.06"	"34,548.53"	"34,548.53"	"315,430,000"
5-May-21	"34,163.99"	"34,331.20"	"34,039.66"	"34,230.34"	"34,230.34"	"253,180,000"
4-May-21	"34,080.20"	"34,147.78"	"33,765.68"	"34,133.03"	"34,133.03"	"407,860,000"
3-May-21	"33,904.89"	"34,221.06"	"33,904.89"	"34,113.23"	"34,113.23"	"289,770,000"
30-Apr-21	"33,988.75"	"33,988.75"	"33,784.96"	"33,874.85"	"33,874.85"	"374,890,000"
29-Apr-21	"33,855.64"	"34,087.21"	"33,744.28"	"34,060.36"	"34,060.36"	"408,450,000"
28-Apr-21	"33,860.46"	"33,946.60"	"33,805.56"	"33,820.38"	"33,820.38"	"335,820,000"
27-Apr-21	"33,932.13"	"34,043.98"	"33,870.46"	"33,984.93"	"33,984.93"	"289,030,000"
26-Apr-21	"34,044.23"	"34,148.94"	"33,941.37"	"33,981.57"	"33,981.57"	"279,300,000"
23-Apr-21	"33,804.52"	"34,157.57"	"33,713.29"	"34,043.49"	"34,043.49"	"346,380,000"
22-Apr-21	"34,109.88"	"34,126.57"	"33,717.19"	"33,815.90"	"33,815.90"	"344,470,000"
21-Apr-21	"33,808.30"	"34,160.34"	"33,773.80"	"34,137.31"	"34,137.31"	"290,300,000"
20-Apr-21	"34,034.18"	"34,034.18"	"33,687.01"	"33,821.30"	"33,821.30"	"350,960,000"
19-Apr-21	"34,182.38"	"34,182.38"	"33,980.56"	"34,077.63"	"34,077.63"	"312,540,000"
16-Apr-21	"34,058.16"	"34,256.75"	"34,058.16"	"34,200.67"	"34,200.67"	"343,760,000"
15-Apr-21	"33,788.53"	"34,068.73"	"33,788.53"	"34,035.99"	"34,035.99"	"319,680,000"
14-Apr-21	"33,668.95"	"33,911.25"	"33,668.95"	"33,730.89"	"33,730.89"	"315,330,000"
13-Apr-21	"33,721.16"	"33,741.64"	"33,545.84"	"33,677.27"	"33,677.27"	"324,480,000"
12-Apr-21	"33,775.06"	"33,786.19"	"33,665.54"	"33,745.40"	"33,745.40"	"327,370,000"
9-Apr-21	"33,526.19"	"33,810.87"	"33,526.19"	"33,800.60"	"33,800.60"	"316,410,000"
